01620 00045791
01624 0023D92F
01628 003FBF18
0162C 002CCD19
01630 00129BE8
01634 0038AC55
01638 0004F326
0163C 0042C6D9
01640 003E2630
01644 00177F1D
01648 00016CDC
0164C 0027CAAD
01650 003CFAD3
01654 0032612F
01658 002A067B
0165C 002EE1EE
01660 004A536A
01664 00108854
01668 0012077A
0166C 000E7DC5
01670 000A9F48
01674 000CF7DB
01678 0041F5EC
0167C 00016866
01680 002E80EA
01684 00058933
01688 00308D06
0168C 000E2D8D
01690 00432985
01694 0041C2F4
01698 00160AC1
0169C 0029261B
016A0 00079B45
016A4 002CE039
016A8 002AABEB
016AC 0015CA07
016B0 002C4885
016B4 0014BD6E
016B8 000855F2
016BC 00204715
016C0 00428AA1
016C4 000B8774
016C8 0023DD7B
016CC 0044D2A0
016D0 0014A1A3
016D4 001F622F
016D8 001DA97D
016DC 004B668C
016E0 004B0A03
016E4 00332CB6
016E8 000989A8
016EC 002A53F6
016F0 002F799D
016F4 000F8383
016F8 003EECBE
016FC 0020B5BD
01700 001FAC36
01704 002AB6DC
01708 004720FB
0170C 00064E3F
01710 002454AF
01714 0009AAB5
01718 00275B21
0171C 0016DDBA
01720 00257EBD
01724 0001276D
01728 0003844A
0172C 002FA916
01730 000CB15B
01734 002C5A7C
01738 00109EA0
0173C 00360E39
